swab_id,zoo_load_100,log10_1
01,        00.00,00.000000
02,        00.00,00.000000
03,        00.00,00.000000
04,NA,NA
05,        00.00,00.000000
06,        00.00,00.000000
07,        00.00,00.000000
.,NA,NA
.,NA,NA
08,        00.00,00.000000
09,        00.00,00.000000
10,        00.00,00.000000
11,        00.00,00.000000
12,        00.00,00.000000
13,        00.00,00.000000
14,        00.00,00.000000
15,        00.00,00.000000
16,NA,NA
17,        00.00,00.000000
18,        00.00,00.000000
19,        00.00,00.000000
20,        00.00,00.000000
21,        00.00,00.000000
22,        00.00,00.000000
23,        00.00,00.000000
24,        00.00,00.000000
25,        00.00,00.000000
26,        00.00,00.000000
27,        00.00,00.000000
28,     3446.90,03.537555
29,    29404.60,04.468430
30,     7995.70,03.902911
31,    30676.50,04.486820
32,NA,NA
33,        00.00,00.000000
34,        00.00,00.000000
35,        00.00,00.000000
36,        00.00,00.000000
37,        00.00,00.000000
38,        00.00,00.000000
39,        00.00,00.000000
40,        00.00,00.000000
41,        00.00,00.000000
42,        00.00,00.000000
43,        00.00,00.000000
44,        00.00,00.000000
45,        00.00,00.000000
46,        00.00,00.000000
47,        00.00,00.000000
48,  5061144.00,06.704249
49,    17596.20,04.245444
50,        00.00,00.000000
51,        00.00,00.000000
52,        00.00,00.000000
53,NA,NA
54,        00.00,00.000000
55,        00.00,00.000000
56,        00.00,00.000000
57,        00.00,00.000000
58,        00.00,00.000000
59,NA,NA
60,        00.00,00.000000
61,        00.00,00.000000
62,        00.00,00.000000
63,        00.00,00.000000
.,NA,NA
64,        00.00,00.000000
65,        00.00,00.000000
66,        00.00,00.000000
67,      190.70,02.282622
68,        00.00,00.000000
69,        00.00,00.000000
70,        00.00,00.000000
71,        00.00,00.000000
72,        00.00,00.000000
73,        00.00,00.000000
74,        00.00,00.000000
75,        00.00,00.000000
76,    19397.90,04.287777
.,NA,NA
77,        00.00,00.000000
78,        00.00,00.000000
79,        00.00,00.000000
80,        00.00,00.000000
81,        00.00,00.000000
82,        00.00,00.000000
83,        00.00,00.000000
84,        00.00,00.000000
85,        00.00,00.000000
.,NA,NA
86,        00.00,00.000000
87,        00.00,00.000000
88,        00.00,00.000000
90,        00.00,00.000000
91,     4269.20,03.630448
92,        00.00,00.000000
93,      202.00,02.307496
94,        00.00,00.000000
95,        00.00,00.000000
96,        00.00,00.000000
97,        00.00,00.000000
98,        00.00,00.000000
99,        00.00,00.000000
100,     1011.80,03.005524
101,        00.00,00.000000
102,        00.00,00.000000
103,  3947836.00,06.596359
104,    89710.40,04.952848
105,    11357.50,04.055321
106,  1311619.00,06.117808
107,      264.60,02.424228
.,NA,NA
108,        00.00,00.000000
109,   212222.00,05.326792
110,  3738309.00,06.572675
111,     1782.40,03.251249
112,      170.10,02.233250
113,     2204.80,03.343566
114,      661.40,02.821120
115,    34888.40,04.542694
116,        00.00,00.000000
117,        00.00,00.000000
118,      256.40,02.410609
119,        00.00,00.000000
120,        00.00,00.000000
121,        00.00,00.000000
122,        00.00,00.000000
123,        00.00,00.000000
124,    22458.10,04.351392
125,      315.10,02.499824
126, 37402034.00,07.572895
127,    33571.40,04.525982
128,   132262.00,05.121438
129,     1219.00,03.086360
130,    14168.90,04.151367
.,NA,NA
132,        00.00,00.000000
133,        00.00,00.000000
134,        00.00,00.000000
135,      162.80,02.214314
136,        00.00,00.000000
137,        00.00,00.000000
138,   171014.00,05.233034
139,   410692.00,05.613517
140,    91981.70,04.963706
141,        00.00,00.000000
142,      131.90,02.123525
143,      304.70,02.485295
144,        00.00,00.000000
145,        00.00,00.000000
146,        00.00,00.000000
147,        00.00,00.000000
148,        00.00,00.000000
149,  2094461.00,06.321072
150,     3884.00,03.589391
151,      251.50,02.402261
152,        00.00,00.000000
153,     5562.70,03.745364
.,NA,NA
.,NA,NA
.,NA,NA
154,        00.00,00.000000
155,    25934.50,04.413895
156,    18350.00,04.263660
157,     2695.50,03.430800
158,        00.00,00.000000
159,        00.00,00.000000
160,        00.00,00.000000
161,        00.00,00.000000
162,        00.00,00.000000
163,        00.00,00.000000
164,        00.00,00.000000
165,        00.00,00.000000
166,        00.00,00.000000
167,        00.00,00.000000
168,        00.00,00.000000
169,        00.00,00.000000
170,      100.00,02.004321
171,        00.00,00.000000
172,        00.00,00.000000
173,        00.00,00.000000
174,        00.00,00.000000
175,        00.00,00.000000
176,        00.00,00.000000
177,        00.00,00.000000
