campaign,date,survey_time,area,environment,swab_id,family,scientific_name,time_of_capture,count,glycerol,tissue,marked,capture_latitude,capture_longitude,recapture_from_campaign_n_number,sex,comments,latitude_start,latitude_end,longitude_start,longitude_end
1,2020-12-02T00:00:00Z,night,1,land,01,brachycephalidae,brachycephalus pitanga,18:03:00,1,FALSE,FALSE,FALSE,-23.32966,-45.16115,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-02T00:00:00Z,night,1,land,02,brachycephalidae,brachycephalus pitanga,18:29:00,1,FALSE,FALSE,FALSE,-23.34019,-45.15041,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-02T00:00:00Z,night,1,land,03,brachycephalidae,brachycephalus pitanga,19:01:00,1,FALSE,FALSE,FALSE,-23.34007,-45.15015,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-02T00:00:00Z,night,1,land,04,leptodactylidae,physalaemus olfersii,19:19:00,1,TRUE,TRUE,TRUE,-23.34014,-45.14988,NA,female,F/ovada,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-02T00:00:00Z,night,1,water,05,hylodidae,hylodes phyllodes,19:45:00,1,FALSE,TRUE,TRUE,-23.34092,-45.15005,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-02T00:00:00Z,night,1,water,06,hylodidae,hylodes phyllodes,20:10:00,1,FALSE,TRUE,TRUE,-23.34086,-45.15018,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-02T00:00:00Z,night,1,water,07,hylodidae,hylodes phyllodes,20:10:00,1,FALSE,TRUE,TRUE,-23.34086,-45.15018,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-02T00:00:00Z,night,2,land,.,.,.,20:40:00,1,FALSE,FALSE,FALSE,NA,NA,NA,male,NA,-23.343771,-23.343202,-45.144043,-45.144868
1,2020-12-02T00:00:00Z,night,2,water,.,.,.,22:05:00,1,FALSE,FALSE,FALSE,NA,NA,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,day,2,land,08,brachycephalidae,brachycephalus pitanga,15:50:00,1,FALSE,FALSE,FALSE,-23.34353,-45.14426,NA,male,NA,-23.343771,-23.343202,-45.144043,-45.144868
1,2020-12-03T00:00:00Z,day,1,water,09,brachycephalidae,ischnocnema henselii,16:40:00,1,FALSE,FALSE,FALSE,-23.34077,-45.14957,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-03T00:00:00Z,day,1,water,10,brachycephalidae,ischnocnema henselii,16:45:00,1,FALSE,FALSE,FALSE,-23.34085,-45.14968,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-03T00:00:00Z,day,1,land,11,brachycephalidae,brachycephalus pitanga,17:24:00,1,FALSE,FALSE,FALSE,-23.34035,-45.15052,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,day,1,land,12,brachycephalidae,brachycephalus pitanga,17:33:00,1,FALSE,FALSE,FALSE,-23.34012,-45.15024,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,land,13,brachycephalidae,brachycephalus pitanga,18:36:00,1,FALSE,FALSE,FALSE,-23.34015,-45.14995,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,land,14,brachycephalidae,brachycephalus pitanga,18:37:00,1,FALSE,FALSE,FALSE,-23.34013,-45.15000,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,land,15,brachycephalidae,brachycephalus pitanga,18:37:00,1,FALSE,FALSE,FALSE,-23.34013,-45.15000,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,land,16,leptodactylidae,physalaemus olfersii,18:55:00,1,TRUE,TRUE,TRUE,-23.34015,-45.15034,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,land,17,hylidae,bokermannohyla circumdata,19:10:00,1,FALSE,FALSE,FALSE,-23.34053,-45.15049,NA,male,NA,-23.340744,-23.340144,-45.150486,-45.149853
1,2020-12-03T00:00:00Z,night,1,water,18,centrolenidae,vitreorana uranoscopa,19:44:00,1,TRUE,TRUE,TRUE,-23.34081,-45.15055,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-03T00:00:00Z,night,1,water,19,hylodidae,hylodes phyllodes,20:15:00,1,FALSE,TRUE,TRUE,-23.34077,-45.15050,NA,male,NA,-23.340813,-23.340957,-45.149414,-45.150415
1,2020-12-03T00:00:00Z,night,2,water,20,hylidae,dendropsophus microps,21:20:00,1,FALSE,FALSE,FALSE,-23.34293,-45.14451,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,night,2,water,21,hylidae,dendropsophus microps,21:21:00,1,FALSE,FALSE,FALSE,-23.34293,-45.14451,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,night,2,water,22,hylidae,dendropsophus microps,21:23:00,1,FALSE,FALSE,FALSE,-23.34293,-45.14451,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,night,2,water,23,hylidae,dendropsophus microps,21:23:00,1,FALSE,FALSE,FALSE,-23.34293,-45.14451,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,night,2,water,24,hylidae,dendropsophus microps,21:25:00,1,FALSE,FALSE,FALSE,-23.34293,-45.14451,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
1,2020-12-03T00:00:00Z,night,2,water,25,hylidae,aplastodiscus albosignatus,21:22:00,1,TRUE,TRUE,TRUE,-23.34301,-45.14455,NA,male,NA,-23.342987,-23.343456,-45.144503,-45.143634
