start_time,end_time,site,date,survey_time,campaign
17:00:00,18:15:00,6_land,2020-12-08T00:00:00Z,day,01
18:30:00,19:45:00,6_land,2020-12-08T00:00:00Z,night,01
19:50:00,21:16:00,6_water,2020-12-08T00:00:00Z,night,01
"NA","NA",6_water,2020-12-09T00:00:00Z,night,01
"NA","NA",lago_ angelim_water,2020-12-14T00:00:00Z,night,01
"NA","NA",6_land,2020-12-09T00:00:00Z,night,01
"NA","NA",6_land,2020-12-10T00:00:00Z,night,01
"NA","NA",5_land,2020-12-08T00:00:00Z,night,01
"NA","NA",5_land,2020-12-10T00:00:00Z,night,01
17:00:00,18:15:00,5_land,2020-12-10T00:00:00Z,day,01
22:54:00,00:16:00,5_water,2020-12-08T00:00:00Z,night,01
19:50:00,21:12:00,5_water,2020-12-10T00:00:00Z,night,01
"NA","NA",5_water,2020-12-09T00:00:00Z,night,01
17:00:00,18:15:00,5_water,2020-12-09T00:00:00Z,day,01
"NA","NA",4_water,2020-12-07T00:00:00Z,day,01
18:30:00,19:45:00,4_water,2020-12-07T00:00:00Z,night,01
21:35:00,22:50:00,4_water,2020-12-06T00:00:00Z,night,01
"NA","NA",4_land,2020-12-07T00:00:00Z,night,01
"NA","NA",8_water,2020-12-11T00:00:00Z,night,01
"NA","NA",8_water,2020-12-11T00:00:00Z,day,01
20:29:00,21:52:00,8_land,2020-12-11T00:00:00Z,night,01
19:50:00,21:20:00,3_land,2020-12-06T00:00:00Z,night,01
"NA","NA",3_water,2020-12-06T00:00:00Z,day,01
"NA","NA",3_water,2020-12-07T00:00:00Z,night,01
21:20:00,22:38:00,3_water,2020-12-05T00:00:00Z,night,01
"NA","NA",3_water,2020-12-06T00:00:00Z,night,01
"NA","NA",7_land,2020-12-11T00:00:00Z,night,01
"NA","NA",7_water,2020-12-11T00:00:00Z,night,01
"NA","NA",lago_minutal_water,2020-12-15T00:00:00Z,night,01
"NA","NA",lago_sede_water,2020-12-13T00:00:00Z,night,01
"NA","NA",poça_temporária_water,2020-12-13T00:00:00Z,night,01
"NA","NA",trilha_land,2020-12-13T00:00:00Z,day,01
"NA","NA",11_water,2020-12-12T00:00:00Z,night,01
"NA","NA",1_water,2020-12-12T00:00:00Z,night,01
19:50:00,21:06:00,4_water,2020-12-05T00:00:00Z,night,01
"NA","NA",4_land,2020-12-05T00:00:00Z,night,01
17:05:00,18:20:00,4_land,2020-12-05T00:00:00Z,day,01
20:40:00,21:34:00,2_water,2020-12-04T00:00:00Z,night,01
14:55:00,15:30:00,2_water,2020-12-04T00:00:00Z,day,01
21:42:00,22:34:00,2_land,2020-12-04T00:00:00Z,night,01
"NA","NA",2_land,2020-12-03T00:00:00Z,day,01
15:40:00,16:16:00,2_land,2020-12-04T00:00:00Z,day,01
21:08:00,22:30:00,2_water,2020-12-03T00:00:00Z,night,01
16:33:00,17:06:00,1_water,2020-12-03T00:00:00Z,day,01
16:51:00,17:23:00,1_water,2020-12-04T00:00:00Z,day,01
"NA","NA",1_land,2020-12-02T00:00:00Z,night,01
18:30:00,19:23:00,1_land,2020-12-04T00:00:00Z,night,01
18:30:00,19:20:00,1_land,2020-12-03T00:00:00Z,night,01
19:25:00,20:13:00,1_water,2020-12-04T00:00:00Z,night,01
"NA","NA",1_water,2020-12-02T00:00:00Z,night,01
"NA","NA",1_land,2020-12-03T00:00:00Z,day,01
17:30:00,18:02:00,1_land,2020-12-04T00:00:00Z,day,01
"NA","NA",1_water,2020-12-03T00:00:00Z,night,01
22:00:00,23:15:00,5_land,2021-02-16T00:00:00Z,night,02
"NA","NA",2_land,2021-02-10T00:00:00Z,night,02
18:30:00,19:45:00,1_land,2021-02-11T00:00:00Z,night,02
19:30:00,20:45:00,6_water,2021-02-18T00:00:00Z,night,02
"NA","NA",6_water,2021-02-17T00:00:00Z,night,02
18:30:00,19:45:00,6_water,2021-02-16T00:00:00Z,night,02
20:30:00,21:45:00,6_land,2021-02-17T00:00:00Z,night,02
20:50:00,22:05:00,6_land,2021-02-18T00:00:00Z,night,02
19:50:00,21:05:00,6_land,2021-02-16T00:00:00Z,night,02
"NA","NA",5_land,2021-02-18T00:00:00Z,night,02
"NA","NA",5_land,2021-02-17T00:00:00Z,night,02
23:20:00,00:35:00,5_water,2021-02-16T00:00:00Z,night,02
"NA","NA",5_water,2021-02-18T00:00:00Z,night,02
"NA","NA",5_water,2021-02-17T00:00:00Z,night,02
"NA","NA",5_water,2021-02-18T00:00:00Z,day,02
"NA","NA",4_water,2021-02-14T00:00:00Z,day,02
18:30:00,19:45:00,4_water,2021-02-15T00:00:00Z,night,02
17:00:00,18:15:00,4_water,2021-02-15T00:00:00Z,day,02
"NA","NA",4_land,2021-02-13T00:00:00Z,day,02
"NA","NA",4_land,2021-02-15T00:00:00Z,night,02
18:30:00,19:45:00,4_land,2021-02-13T00:00:00Z,night,02
"NA","NA",4_land,2021-02-14T00:00:00Z,night,02
"NA","NA",8_water,2021-02-19T00:00:00Z,night,02
"NA","NA",3_land,2021-02-14T00:00:00Z,night,02
22:00:00,23:15:00,3_land,2021-02-13T00:00:00Z,night,02
"NA","NA",3_land,2021-02-15T00:00:00Z,night,02
"NA","NA",3_water,2021-02-14T00:00:00Z,night,02
"NA","NA",3_water,2021-02-13T00:00:00Z,night,02
23:20:00,00:35:00,3_water,2021-02-15T00:00:00Z,night,02
"NA","NA",7_water,2021-02-19T00:00:00Z,night,02
"NA","NA",2_water,2021-02-10T00:00:00Z,night,02
"NA","NA",2_water,2021-02-11T00:00:00Z,night,02
23:20:00,00:35:00,2_land,2021-02-11T00:00:00Z,night,02
"NA","NA",1_water,2021-02-10T00:00:00Z,day,02
17:00:00,18:15:00,1_water,2021-02-11T00:00:00Z,day,02
17:00:00,18:15:00,1_water,2021-02-12T00:00:00Z,day,02
19:50:00,21:05:00,1_water,2021-02-12T00:00:00Z,night,02
"NA","NA",1_water,2021-02-11T00:00:00Z,night,02
"NA","NA",1_water,2021-02-10T00:00:00Z,night,02
18:30:00,19:45:00,1_land,2021-02-10T00:00:00Z,night,02
18:30:00,19:45:00,1_land,2021-02-12T00:00:00Z,night,02
16:30:00,17:45:00,9_water,2021-01-20T00:00:00Z,day,02
18:30:00,19:45:00,9_water,2021-01-20T00:00:00Z,night,02
20:00:00,21:15:00,1_land,2021-01-20T00:00:00Z,night,02
"NA","NA",1_water,2021-01-20T00:00:00Z,night,02
"NA","NA",4_water,2021-06-20T00:00:00Z,night,03
"NA","NA",4_land,2021-06-20T00:00:00Z,night,03
19:40:00,20:55:00,3_land,2021-06-20T00:00:00Z,night,03
"NA","NA",3_water,2021-06-20T00:00:00Z,day,03
"NA","NA",3_water,2021-06-20T00:00:00Z,night,03
"NA","NA",2_water,2021-06-17T00:00:00Z,night,03
"NA","NA",2_water,2021-06-18T00:00:00Z,night,03
21:30:00,22:45:00,2_water,2021-06-19T00:00:00Z,night,03
23:05:00,00:20:00,2_land,2021-06-18T00:00:00Z,night,03
22:50:00,00:05:00,2_land,2021-06-19T00:00:00Z,night,03
22:50:00,00:05:00,2_land,2021-06-17T00:00:00Z,night,03
16:20:00,17:35:00,1_water,2021-06-19T00:00:00Z,day,03
"NA","NA",1_land,2021-06-18T00:00:00Z,night,03
18:35:00,19:50:00,1_water,2021-06-17T00:00:00Z,night,03
19:15:00,20:30:00,1_land,2021-06-19T00:00:00Z,night,03
18:30:00,19:45:00,6_water,2021-08-03T00:00:00Z,night,04
"NA","NA",6_water,2021-08-04T00:00:00Z,night,04
"NA","NA",6_water,2021-08-02T00:00:00Z,night,04
19:20:00,20:35:00,6_land,2021-08-02T00:00:00Z,night,04
19:20:00,20:35:00,6_land,2021-08-04T00:00:00Z,night,04
21:00:00,22:15:00,lago_ angelim_water,2021-08-02T00:00:00Z,night,04
"NA","NA",5_land,2021-08-03T00:00:00Z,night,04
"NA","NA",5_land,2021-08-02T00:00:00Z,night,04
23:20:00,00:35:00,5_water,2021-08-03T00:00:00Z,night,04
21:30:00,22:45:00,4_water,2021-07-31T00:00:00Z,night,04
"NA","NA",4_water,2021-07-30T00:00:00Z,night,04
18:00:00,19:15:00,4_water,2021-08-01T00:00:00Z,night,04
"NA","NA",4_land,2021-07-30T00:00:00Z,night,04
"NA","NA",4_land,2021-07-31T00:00:00Z,night,04
19:20:00,20:35:00,4_land,2021-08-01T00:00:00Z,night,04
18:00:00,19:15:00,8_water,2021-08-05T00:00:00Z,night,04
21:00:00,22:15:00,3_land,2021-08-01T00:00:00Z,night,04
"NA","NA",3_land,2021-07-30T00:00:00Z,night,04
19:20:00,20:35:00,3_land,2021-07-31T00:00:00Z,night,04
18:00:00,19:15:00,3_water,2021-07-31T00:00:00Z,night,04
16:30:00,17:45:00,3_water,2021-07-31T00:00:00Z,day,04
16:30:00,17:45:00,3_water,2021-07-30T00:00:00Z,day,04
"NA","NA",3_water,2021-08-01T00:00:00Z,night,04
18:00:00,19:15:00,3_water,2021-07-30T00:00:00Z,night,04
"NA","NA",7_water,2021-08-05T00:00:00Z,night,04
"NA","NA",lago_sede_water,2021-08-03T00:00:00Z,night,04
"NA","NA",2_water,2021-07-28T00:00:00Z,night,04
